source_set,sales_month,store_id,sales
current,2026-08-01,103,145740.0
current,2026-08-01,105,429470.0
current,2026-08-01,106,845389.0
current,2026-08-01,109,834368.0
current,2026-08-01,112,611455.29
current,2026-08-01,114,2003621.44
current,2026-08-01,115,1688574.3
current,2026-08-01,118,819919.0
current,2026-08-01,134,65440.0
current,2026-08-01,138,1071184.0
current,2026-08-01,197,10900.0
current,2026-08-01,206,1446230.0
current,2026-08-01,215,356980.0
current,2026-08-01,233,385829.0
current,2026-08-01,242,256800.0
current,2026-08-01,243,109790.0
current,2026-08-01,246,560053.0
current,2026-08-01,249,373110.0
current,2026-08-01,251,1382690.0
current,2026-08-01,253,224100.0
current,2026-08-01,255,130590.0
current,2026-08-01,256,104830.0
current,2026-08-01,260,30490.0
current,2026-08-01,272,254999.0
current,2026-08-01,273,104580.0
current,2026-08-01,282,23490.0
current,2026-08-01,286,28490.0
current,2026-08-01,292,1123679.0
current,2026-08-01,298,320019.0
current,2026-08-01,305,195820.0
current,2026-08-01,308,138112.0
current,2026-08-01,310,415710.0
current,2026-08-01,313,529310.0
current,2026-08-01,315,175250.0
current,2026-08-01,321,681534.0
current,2026-08-01,329,646299.0
current,2026-08-01,335,1050505.0
current,2026-08-01,337,729254.0
current,2026-08-01,340,95680.0
current,2026-08-01,341,110060.0
current,2026-08-01,344,96680.0
current,2026-08-01,362,236993.0
current,2026-08-01,368,129125.0
current,2026-08-01,369,219595.25
current,2026-08-01,377,121630.0
current,2026-08-01,387,93950.0
current,2026-08-01,389,69190.0
current,2026-08-01,410,470650.0
current,2026-08-01,412,44600.0
current,2026-08-01,413,196575.0
current,2026-08-01,414,196820.0
current,2026-08-01,420,140320.0
current,2026-08-01,422,43640.0
current,2026-08-01,452,230675.0
current,2026-08-01,484,280747.0
current,2026-08-01,498,433550.0
current,2026-08-01,543,389370.0
current,2026-08-01,544,71880.0
current,2026-08-01,545,81780.0
current,2026-08-01,565,30490.0
current,2026-08-01,586,80300.0
current,2026-08-01,627,532950.0
current,2026-08-01,632,233230.0
current,2026-08-01,633,778980.0
current,2026-08-01,645,1161970.0
current,2026-08-01,647,402873.0
current,2026-08-01,651,66460.0
current,2026-08-01,653,521560.0
current,2026-08-01,655,84079.0
current,2026-08-01,656,81780.0
current,2026-08-01,660,250900.0
current,2026-08-01,661,320015.0
current,2026-08-01,666,185725.0
current,2026-08-01,673,28080.0
current,2026-08-01,674,105580.0
current,2026-08-01,675,175460.0
current,2026-08-01,676,125170.0
current,2026-08-01,684,88130.0
current,2026-08-01,686,189130.0
current,2026-08-01,691,126380.0
current,2026-08-01,695,107005.0
current,2026-08-01,706,11900.0
current,2026-08-01,741,113270.0
current,2026-08-01,748,956030.0
current,2026-08-01,754,214490.0
current,2026-08-01,780,82643.0
current,2026-08-01,844,273470.0
current,2026-08-01,859,42640.0
current,2026-08-01,865,23800.0
current,2026-08-01,1069,252072.0
current,2026-08-01,1071,39950.0
current,2026-08-01,1086,210490.0
current,2026-08-01,1103,123230.0
current,2026-08-01,1106,306283.0
current,2026-08-01,1110,73990.0
current,2026-08-01,1113,133119.0
current,2026-08-01,1195,60980.0
current,2026-08-01,1196,404260.0
current,2026-08-01,1345,56500.0
current,2026-08-01,1484,21800.0
current,2026-08-01,1563,215100.0
current,2026-08-01,1567,33700.0
current,2026-08-01,1616,156870.0
current,2026-08-01,1620,183410.57
current,2026-08-01,1621,87780.0
current,2026-08-01,1623,10900.0
current,2026-08-01,1768,30490.0
current,2026-08-01,1780,117642.0
current,2026-08-01,1785,234480.0
current,2026-08-01,1812,131590.0
current,2026-08-01,1999,204290.0
current,2026-08-01,2318,10900.0
current,2026-08-01,2359,64190.0
current,2026-08-01,2373,37180.0
current,2026-08-01,2441,164480.0
current,2026-08-01,2445,150970.0
current,2026-08-01,2465,181215.48
current,2026-08-01,2466,129400.0
current,2026-08-01,2501,78495.0
current,2026-08-01,2522,120730.0
current,2026-08-01,2530,64190.0
current,2026-08-01,2553,109790.0
current,2026-08-01,2585,7690.0
current,2026-08-01,2614,211300.0
current,2026-08-01,2615,82470.0
current,2026-08-01,2618,210430.0
current,2026-08-01,2633,88260.0
current,2026-08-01,2634,48080.0
current,2026-08-01,2647,90200.0
current,2026-08-01,2678,86260.0
current,2026-08-01,2680,34970.0
current,2026-08-01,2684,58750.0
current,2026-08-01,2685,112475.72
current,2026-08-01,2686,51080.0
current,2026-08-01,2713,93470.0
current,2026-08-01,2715,55500.0
